course_level,name,p_level,p_name
ssc,Maths,null,null
ssc,English,null,null
ssc,Science,null,null
inter,MPC,ssc,Maths
inter,MPC,ssc,English
inter,MPC,ssc,Science
inter,BiPC,ssc,Maths
inter,BiPC,ssc,English
inter,BiPC,ssc,Science
inter,CEC,ssc,Maths
inter,CEC,ssc,English
inter,CEC,ssc,Science
inter,MEC,ssc,Maths
inter,MEC,ssc,English
inter,MEC,ssc,Science
diploma,IT,ssc,Maths
diploma,IT,ssc,English
diploma,IT,ssc,Science
diploma,ECE,ssc,Maths
diploma,ECE,ssc,English
diploma,ECE,ssc,Science
diploma,EEE,ssc,Maths
diploma,EEE,ssc,English
diploma,EEE,ssc,Science
degree,BCom,inter,MPC
degree,BSc,inter,MPC
degree,BE,inter,MPC
engineering,CSE,inter,MPC
engineering,ECE,inter,MPC
engineering,EEE,inter,MPC
medical,MBBS,inter,BiPC
medical,DENTAL,inter,BiPC
medical,BPharm,inter,BiPC